date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:04:34	156234/156234	---M-Z	200	added ('OK')	text/html	etag:%222624a-559aa8c607f80-gzip%22	http://html.kodesolution.live/s/studypress/v6.0/demo/index-mp-layout1.html	C:/Users/rida.kabbani/Desktop/lnh%20academy/website/6/studypress/html.kodesolution.live/s/studypress/v6.0/demo/index-mp-layout1.html	(from )
01:04:34	30/30	---M--	200	added ('OK')	text/plain	date:Tue,%2027%20Aug%202019%2019:44:18%20GMT	http://html.kodesolution.live/robots.txt		(from )
01:04:34	547/547	---M--	200	added ('OK')	image/png	etag:%22223-53bd8e7b61d80%22	http://html.kodesolution.live/s/studypress/v6.0/demo/images/favicon.png	C:/Users/rida.kabbani/Desktop/lnh%20academy/website/6/studypress/html.kodesolution.live/s/studypress/v6.0/demo/images/favicon.png	(from http://html.kodesolution.live/s/studypress/v6.0/demo/index-mp-layout1.html)
01:04:34	547/547	---M--	200	added ('OK')	image/png	etag:%22223-53bd8e7d4a200%22	http://html.kodesolution.live/s/studypress/v6.0/demo/images/apple-touch-icon.png	C:/Users/rida.kabbani/Desktop/lnh%20academy/website/6/studypress/html.kodesolution.live/s/studypress/v6.0/demo/images/apple-touch-icon.png	(from http://html.kodesolution.live/s/studypress/v6.0/demo/index-mp-layout1.html)
01:04:35	1014/1014	---M--	200	added ('OK')	image/png	etag:%223f6-53bd8e7f32680%22	http://html.kodesolution.live/s/studypress/v6.0/demo/images/apple-touch-icon-72x72.png	C:/Users/rida.kabbani/Desktop/lnh%20academy/website/6/studypress/html.kodesolution.live/s/studypress/v6.0/demo/images/apple-touch-icon-72x72.png	(from http://html.kodesolution.live/s/studypress/v6.0/demo/index-mp-layout1.html)
01:04:35	1166/1166	---M--	200	added ('OK')	image/png	etag:%2248e-53bd8e7b61d80%22	http://html.kodesolution.live/s/studypress/v6.0/demo/images/apple-touch-icon-114x114.png	C:/Users/rida.kabbani/Desktop/lnh%20academy/website/6/studypress/html.kodesolution.live/s/studypress/v6.0/demo/images/apple-touch-icon-114x114.png	(from http://html.kodesolution.live/s/studypress/v6.0/demo/index-mp-layout1.html)
01:04:35	1346/1346	---M--	200	added ('OK')	image/png	etag:%22542-53bd8e7b61d80%22	http://html.kodesolution.live/s/studypress/v6.0/demo/images/apple-touch-icon-144x144.png	C:/Users/rida.kabbani/Desktop/lnh%20academy/website/6/studypress/html.kodesolution.live/s/studypress/v6.0/demo/images/apple-touch-icon-144x144.png	(from http://html.kodesolution.live/s/studypress/v6.0/demo/index-mp-layout1.html)
01:04:36	121260/121260	---M-Z	200	added ('OK')	text/css	etag:%221d9ac-5255d83faef00-gzip%22	http://html.kodesolution.live/s/studypress/v6.0/demo/css/bootstrap.min.css	C:/Users/rida.kabbani/Desktop/lnh%20academy/website/6/studypress/html.kodesolution.live/s/studypress/v6.0/demo/css/bootstrap.min.css	(from http://html.kodesolution.live/s/studypress/v6.0/demo/index-mp-layout1.html)
01:04:36	29279/29279	---M-Z	200	added ('OK')	text/css	etag:%22725f-5301dd6791e80-gzip%22	http://html.kodesolution.live/s/studypress/v6.0/demo/css/jquery-ui.min.css	C:/Users/rida.kabbani/Desktop/lnh%20academy/website/6/studypress/html.kodesolution.live/s/studypress/v6.0/demo/css/jquery-ui.min.css	(from http://html.kodesolution.live/s/studypress/v6.0/demo/index-mp-layout1.html)
01:04:36	88597/88597	---M-Z	200	added ('OK')	text/css	etag:%2215a15-530f797d61b80-gzip%22	http://html.kodesolution.live/s/studypress/v6.0/demo/css/animate.css	C:/Users/rida.kabbani/Desktop/lnh%20academy/website/6/studypress/html.kodesolution.live/s/studypress/v6.0/demo/css/animate.css	(from http://html.kodesolution.live/s/studypress/v6.0/demo/index-mp-layout1.html)
01:04:37	258890/258890	---M-Z	200	added ('OK')	text/css	etag:%223f34a-5383988be0880-gzip%22	http://html.kodesolution.live/s/studypress/v6.0/demo/css/css-plugin-collections.css	C:/Users/rida.kabbani/Desktop/lnh%20academy/website/6/studypress/html.kodesolution.live/s/studypress/v6.0/demo/css/css-plugin-collections.css	(from http://html.kodesolution.live/s/studypress/v6.0/demo/index-mp-layout1.html)
01:04:38	2455/2455	---M-Z	200	added ('OK')	text/css	etag:%22997-5301dd6791e80-gzip%22	http://html.kodesolution.live/s/studypress/v6.0/demo/css/menuzord-skins/menuzord-rounded-boxed.css	C:/Users/rida.kabbani/Desktop/lnh%20academy/website/6/studypress/html.kodesolution.live/s/studypress/v6.0/demo/css/menuzord-skins/menuzord-rounded-boxed.css	(from http://html.kodesolution.live/s/studypress/v6.0/demo/index-mp-layout1.html)
01:04:38	63661/63661	---M-Z	200	added ('OK')	text/css	etag:%22f8ad-530f797d61b80-gzip%22	http://html.kodesolution.live/s/studypress/v6.0/demo/css/preloader.css	C:/Users/rida.kabbani/Desktop/lnh%20academy/website/6/studypress/html.kodesolution.live/s/studypress/v6.0/demo/css/preloader.css	(from http://html.kodesolution.live/s/studypress/v6.0/demo/index-mp-layout1.html)
01:04:39	140457/140457	---M-Z	200	added ('OK')	text/css	etag:%22224a9-552c5f4e16380-gzip%22	http://html.kodesolution.live/s/studypress/v6.0/demo/css/style-main.css	C:/Users/rida.kabbani/Desktop/lnh%20academy/website/6/studypress/html.kodesolution.live/s/studypress/v6.0/demo/css/style-main.css	(from http://html.kodesolution.live/s/studypress/v6.0/demo/index-mp-layout1.html)
01:04:39	64598/64598	---M-Z	200	added ('OK')	text/css	etag:%22fc56-534bde4d23d00-gzip%22	http://html.kodesolution.live/s/studypress/v6.0/demo/css/custom-bootstrap-margin-padding.css	C:/Users/rida.kabbani/Desktop/lnh%20academy/website/6/studypress/html.kodesolution.live/s/studypress/v6.0/demo/css/custom-bootstrap-margin-padding.css	(from http://html.kodesolution.live/s/studypress/v6.0/demo/index-mp-layout1.html)
01:04:39	4909/4909	---M-Z	200	added ('OK')	text/css	etag:%22132d-53510fd3dfc00-gzip%22	http://html.kodesolution.live/s/studypress/v6.0/demo/css/responsive.css	C:/Users/rida.kabbani/Desktop/lnh%20academy/website/6/studypress/html.kodesolution.live/s/studypress/v6.0/demo/css/responsive.css	(from http://html.kodesolution.live/s/studypress/v6.0/demo/index-mp-layout1.html)
01:04:40	36724/36724	---M-Z	200	added ('OK')	text/css	etag:%228f74-5301dd6b62780-gzip%22	http://html.kodesolution.live/s/studypress/v6.0/demo/js/revolution-slider/css/settings.css	C:/Users/rida.kabbani/Desktop/lnh%20academy/website/6/studypress/html.kodesolution.live/s/studypress/v6.0/demo/js/revolution-slider/css/settings.css	(from http://html.kodesolution.live/s/studypress/v6.0/demo/index-mp-layout1.html)
01:04:40	120120/120120	---M-Z	200	added ('OK')	text/css	etag:%221d538-5301dd6b62780-gzip%22	http://html.kodesolution.live/s/studypress/v6.0/demo/js/revolution-slider/css/layers.css	C:/Users/rida.kabbani/Desktop/lnh%20academy/website/6/studypress/html.kodesolution.live/s/studypress/v6.0/demo/js/revolution-slider/css/layers.css	(from http://html.kodesolution.live/s/studypress/v6.0/demo/index-mp-layout1.html)
01:04:40	62209/62209	---M-Z	200	added ('OK')	text/css	etag:%22f301-5301dd6b62780-gzip%22	http://html.kodesolution.live/s/studypress/v6.0/demo/js/revolution-slider/css/navigation.css	C:/Users/rida.kabbani/Desktop/lnh%20academy/website/6/studypress/html.kodesolution.live/s/studypress/v6.0/demo/js/revolution-slider/css/navigation.css	(from http://html.kodesolution.live/s/studypress/v6.0/demo/index-mp-layout1.html)
01:04:40	27838/27838	---M-Z	200	added ('OK')	text/css	etag:%226cbe-546ae1deedb00-gzip%22	http://html.kodesolution.live/s/studypress/v6.0/demo/css/colors/theme-skin-color-set-1.css	C:/Users/rida.kabbani/Desktop/lnh%20academy/website/6/studypress/html.kodesolution.live/s/studypress/v6.0/demo/css/colors/theme-skin-color-set-1.css	(from http://html.kodesolution.live/s/studypress/v6.0/demo/index-mp-layout1.html)
01:04:43	36874/36874	---M-Z	200	added ('OK')	application/javascript	etag:%22900a-5301dd697a300-gzip%22	http://html.kodesolution.live/s/studypress/v6.0/demo/js/bootstrap.min.js	C:/Users/rida.kabbani/Desktop/lnh%20academy/website/6/studypress/html.kodesolution.live/s/studypress/v6.0/demo/js/bootstrap.min.js	(from http://html.kodesolution.live/s/studypress/v6.0/demo/index-mp-layout1.html)
01:04:44	85578/85578	---M-Z	200	added ('OK')	application/javascript	etag:%2214e4a-53e207dae3e00-gzip%22	http://html.kodesolution.live/s/studypress/v6.0/demo/js/jquery-2.2.4.min.js	C:/Users/rida.kabbani/Desktop/lnh%20academy/website/6/studypress/html.kodesolution.live/s/studypress/v6.0/demo/js/jquery-2.2.4.min.js	(from http://html.kodesolution.live/s/studypress/v6.0/demo/index-mp-layout1.html)
01:04:47	54917/54917	---M-Z	200	added ('OK')	application/javascript	etag:%22d685-5301dd6d4ac00-gzip%22	http://html.kodesolution.live/s/studypress/v6.0/demo/js/revolution-slider/js/jquery.themepunch.revolution.min.js	C:/Users/rida.kabbani/Desktop/lnh%20academy/website/6/studypress/html.kodesolution.live/s/studypress/v6.0/demo/js/revolution-slider/js/jquery.themepunch.revolution.min.js	(from http://html.kodesolution.live/s/studypress/v6.0/demo/index-mp-layout1.html)
01:04:48	3625/3625	---M--	200	added ('OK')	image/jpeg	etag:%22e29-53bb214660100%22	http://html.kodesolution.live/s/studypress/v6.0/demo/images/products/sm1.jpg	C:/Users/rida.kabbani/Desktop/lnh%20academy/website/6/studypress/html.kodesolution.live/s/studypress/v6.0/demo/images/products/sm1.jpg	(from http://html.kodesolution.live/s/studypress/v6.0/demo/index-mp-layout1.html)
01:04:48	104767/104767	---M-Z	200	added ('OK')	application/javascript	etag:%221993f-5301dd6d4ac00-gzip%22	http://html.kodesolution.live/s/studypress/v6.0/demo/js/revolution-slider/js/jquery.themepunch.tools.min.js	C:/Users/rida.kabbani/Desktop/lnh%20academy/website/6/studypress/html.kodesolution.live/s/studypress/v6.0/demo/js/revolution-slider/js/jquery.themepunch.tools.min.js	(from http://html.kodesolution.live/s/studypress/v6.0/demo/index-mp-layout1.html)
01:04:49	95947/95947	---M-Z	200	added ('OK')	text/html	etag:%22176cb-546c4c7f7e680-gzip%22	http://html.kodesolution.live/s/studypress/v6.0/demo/shop-cart.html	C:/Users/rida.kabbani/Desktop/lnh%20academy/website/6/studypress/html.kodesolution.live/s/studypress/v6.0/demo/shop-cart.html	(from http://html.kodesolution.live/s/studypress/v6.0/demo/index-mp-layout1.html)
01:04:49	4300/4300	---M--	200	added ('OK')	image/jpeg	etag:%2210cc-53bb229058b80%22	http://html.kodesolution.live/s/studypress/v6.0/demo/images/products/sm2.jpg	C:/Users/rida.kabbani/Desktop/lnh%20academy/website/6/studypress/html.kodesolution.live/s/studypress/v6.0/demo/images/products/sm2.jpg	(from http://html.kodesolution.live/s/studypress/v6.0/demo/index-mp-layout1.html)
01:04:50	100069/100069	---M-Z	200	added ('OK')	text/html	etag:%22186e5-546c4c7f7e680-gzip%22	http://html.kodesolution.live/s/studypress/v6.0/demo/shop-checkout.html	C:/Users/rida.kabbani/Desktop/lnh%20academy/website/6/studypress/html.kodesolution.live/s/studypress/v6.0/demo/shop-checkout.html	(from http://html.kodesolution.live/s/studypress/v6.0/demo/index-mp-layout1.html)
01:04:51	162940/162940	---M-Z	200	added ('OK')	text/html	etag:%2227c7c-546c4c9c1aa00-gzip%22	http://html.kodesolution.live/s/studypress/v6.0/demo/index-mp-layout2.html	C:/Users/rida.kabbani/Desktop/lnh%20academy/website/6/studypress/html.kodesolution.live/s/studypress/v6.0/demo/index-mp-layout2.html	(from http://html.kodesolution.live/s/studypress/v6.0/demo/index-mp-layout1.html)
01:04:52	167227/167227	---M-Z	200	added ('OK')	text/html	etag:%2228d3b-557be77fc9d00-gzip%22	http://html.kodesolution.live/s/studypress/v6.0/demo/index-mp-layout3.html	C:/Users/rida.kabbani/Desktop/lnh%20academy/website/6/studypress/html.kodesolution.live/s/studypress/v6.0/demo/index-mp-layout3.html	(from http://html.kodesolution.live/s/studypress/v6.0/demo/index-mp-layout1.html)
01:04:52	4059/4059	---M--	200	added ('OK')	image/png	etag:%22fdb-53bd8859a2600%22	http://html.kodesolution.live/s/studypress/v6.0/demo/images/logo-wide.png	C:/Users/rida.kabbani/Desktop/lnh%20academy/website/6/studypress/html.kodesolution.live/s/studypress/v6.0/demo/images/logo-wide.png	(from http://html.kodesolution.live/s/studypress/v6.0/demo/index-mp-layout1.html)
01:04:52	151658/151658	---M-Z	200	added ('OK')	text/html	etag:%222506a-54f3e1c3ed600-gzip%22	http://html.kodesolution.live/s/studypress/v6.0/demo/index-mp-layout4.html	C:/Users/rida.kabbani/Desktop/lnh%20academy/website/6/studypress/html.kodesolution.live/s/studypress/v6.0/demo/index-mp-layout4.html	(from http://html.kodesolution.live/s/studypress/v6.0/demo/index-mp-layout1.html)
01:04:53	155428/155428	---M-Z	200	added ('OK')	text/html	etag:%2225f24-546c4c445db00-gzip%22	http://html.kodesolution.live/s/studypress/v6.0/demo/index-mp-layout5.html	C:/Users/rida.kabbani/Desktop/lnh%20academy/website/6/studypress/html.kodesolution.live/s/studypress/v6.0/demo/index-mp-layout5.html	(from http://html.kodesolution.live/s/studypress/v6.0/demo/index-mp-layout1.html)
01:04:54	162685/162685	---M-Z	200	added ('OK')	text/html	etag:%2227b7d-546c4c445db00-gzip%22	http://html.kodesolution.live/s/studypress/v6.0/demo/index-mp-layout6.html	C:/Users/rida.kabbani/Desktop/lnh%20academy/website/6/studypress/html.kodesolution.live/s/studypress/v6.0/demo/index-mp-layout6.html	(from http://html.kodesolution.live/s/studypress/v6.0/demo/index-mp-layout1.html)
